dateprd,well_bore_code,npd_well_bore_code,npd_well_bore_name,npd_field_code,npd_field_name,npd_facility_code,on_stream_hrs,avg_downhole_pressure,avg_downhole_temperature,avg_dp_tubing,avg_annulus_press,avg_choke_size_p,avg_whp_p,avg_wht_p,dp_choke_size,bore_oil_vol,bore_gas_vol,bore_wat_vol,bore_wi_vol,flow_kind,well_type
04/07/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,0.00,0.000,0.000,0.000,0.00,0.0000,0.000,0.000,0.00,0.00,0,0,0,production,WI
04/08/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,0.00,0.000,0.000,0.000,0.00,1.0031,0.000,0.000,0.00,0.00,0,0,0,production,OP
04/09/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,0.00,0.000,0.000,0.000,0.00,0.9790,0.000,0.000,0.00,0.00,0,0,0,production,OP
04/10/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,0.00,0.000,0.000,0.000,0.00,0.5458,0.000,0.000,0.00,0.00,0,0,0,production,OP
04/11/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,0.00,310.376,96.876,277.278,0.00,1.2160,33.098,10.480,33.07,0.00,0,0,0,production,OP
04/12/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,0.00,303.501,96.923,281.447,0.00,3.0870,22.053,8.704,22.05,0.00,0,0,0,production,OP
04/13/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,0.00,303.535,96.959,276.032,0.00,1.9624,27.503,9.423,16.16,0.00,0,0,0,production,OP
04/14/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,0.00,303.782,96.969,282.787,0.00,0.0000,20.996,8.131,20.74,0.00,0,0,0,production,OP
04/15/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,0.00,303.858,97.021,289.941,0.00,31.1419,13.918,8.498,12.18,0.00,0,0,0,production,OP
04/16/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,0.00,303.792,97.066,299.672,0.00,0.0000,4.120,8.821,1.49,0.00,0,0,0,production,OP
04/17/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,0.00,304.335,96.919,282.901,0.00,41.2360,21.434,8.854,18.80,0.00,0,0,0,production,OP
04/18/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,0.00,304.849,96.720,273.701,0.00,0.0000,31.148,9.640,28.50,0.00,0,0,0,production,OP
04/19/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,0.00,305.371,96.616,259.620,0.00,0.4369,45.752,9.639,43.16,0.00,0,0,0,production,OP
04/20/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,0.00,313.871,96.560,282.814,0.00,0.4543,31.056,9.620,28.48,0.00,0,0,0,production,OP
04/21/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,11.50,301.376,102.676,204.795,0.00,20.9898,96.580,19.197,69.78,0.00,0,0,0,production,OP
04/22/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,24.00,289.421,106.353,182.059,0.00,43.3435,107.362,37.939,78.94,631.00,90439,0,0,production,OP
04/23/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,24.00,270.240,107.644,171.053,24.00,47.1675,99.187,60.757,70.63,1166.00,165720,0,0,production,OP
04/24/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,24.00,262.843,107.869,168.242,24.00,47.7323,94.601,63.047,66.05,1550.00,221707,0,0,production,OP
04/25/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,24.00,255.527,107.971,165.539,24.00,48.5338,89.988,64.547,61.41,1249.00,178064,0,0,production,OP
04/26/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,24.00,247.199,108.052,162.422,24.00,49.8445,84.777,65.724,56.15,1346.00,192602,0,0,production,OP
04/27/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,24.00,240.736,108.054,159.899,24.00,50.2970,80.837,66.934,52.20,1350.00,194496,0,0,production,OP
04/28/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,24.00,235.021,108.042,157.683,24.00,50.7359,77.338,67.848,48.71,1346.00,192900,0,0,production,OP
04/29/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,24.00,232.744,107.988,156.795,24.00,50.1139,75.949,65.707,47.38,1279.00,184900,0,0,production,OP
04/30/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,24.00,233.298,107.893,157.179,24.00,48.9268,76.118,62.796,47.61,1226.00,177108,0,0,production,OP
05/01/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,24.00,231.089,107.877,156.399,24.00,48.9386,74.690,62.377,46.20,1213.00,174609,0,0,production,OP
05/02/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,24.00,231.419,107.817,156.690,24.00,48.3037,74.729,60.747,46.15,1074.00,154871,0,0,production,OP
05/03/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,24.00,230.766,107.795,156.606,24.00,48.1735,74.160,60.628,45.73,1044.00,147930,0,0,production,OP
05/04/14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,24.00,230.596,107.764,156.688,24.00,47.4661,73.908,58.279,45.49,970.00,139378,0,0,production,OP
